1.0339471101760864 [ 80 126 108]
1.0339471101760864 [ 80 126 108]
1.0281540155410767 [125 124  79]
0.9246861934661865 [ 90  81 128]
0.8901553750038147 [ 90 119  99]
0.8810456395149231 [105 104  91]
0.8810456395149231 [105 104  91]
0.8810456395149231 [105 104  91]
0.8810456395149231 [105 104  91]
0.8810456395149231 [105 104  91]
0.8810456395149231 [105 104  91]
0.8810456395149231 [105 104  91]
0.8810456395149231 [105 104  91]
0.8810456395149231 [105 104  91]
0.8810456395149231 [105 104  91]
0.6987521052360535 [128 106 104]
0.6987521052360535 [128 106 104]
0.6987521052360535 [128 106 104]
0.6987521052360535 [128 106 104]
0.6987521052360535 [128 106 104]
0.6987521052360535 [128 106 104]
0.6987521052360535 [128 106 104]
0.6987521052360535 [128 106 104]
0.6987521052360535 [128 106 104]
0.6987521052360535 [128 106 104]
0.6987521052360535 [128 106 104]
0.6987521052360535 [128 106 104]
0.6987521052360535 [128 106 104]
0.6987521052360535 [128 106 104]
0.6987521052360535 [128 106 104]
0.6987521052360535 [128 106 104]
0.6987521052360535 [128 106 104]
0.6987521052360535 [128 106 104]
0.6987521052360535 [128 106 104]
0.6987521052360535 [128 106 104]
0.6987521052360535 [128 106 104]
0.6987521052360535 [128 106 104]
0.6987521052360535 [128 106 104]
0.6987521052360535 [128 106 104]
0.6987521052360535 [128 106 104]
ACC 0.7598086124401914
