0.13525433838367462 [39 93 70]
0.13525433838367462 [39 93 70]
0.13525433838367462 [39 93 70]
0.13525433838367462 [39 93 70]
0.1298626810312271 [ 49  97 103]
0.1298626810312271 [ 49  97 103]
0.1298626810312271 [ 49  97 103]
0.1298626810312271 [ 49  97 103]
0.1298626810312271 [ 49  97 103]
0.1298626810312271 [ 49  97 103]
0.12028251588344574 [ 68  84 128]
0.12028251588344574 [ 68  84 128]
0.12028251588344574 [ 68  84 128]
0.12028251588344574 [ 68  84 128]
0.12028251588344574 [ 68  84 128]
0.12028251588344574 [ 68  84 128]
0.12028251588344574 [ 68  84 128]
0.12028251588344574 [ 68  84 128]
0.12028251588344574 [ 68  84 128]
0.12028251588344574 [ 68  84 128]
0.12028251588344574 [ 68  84 128]
0.11095535755157471 [ 52 104 112]
0.11095535755157471 [ 52 104 112]
0.11095535755157471 [ 52 104 112]
0.11095535755157471 [ 52 104 112]
0.11095535755157471 [ 52 104 112]
0.11095535755157471 [ 52 104 112]
0.11095535755157471 [ 52 104 112]
0.11095535755157471 [ 52 104 112]
0.11095535755157471 [ 52 104 112]
0.11095535755157471 [ 52 104 112]
0.11095535755157471 [ 52 104 112]
0.11095535755157471 [ 52 104 112]
0.11095535755157471 [ 52 104 112]
0.11095535755157471 [ 52 104 112]
0.11095535755157471 [ 52 104 112]
0.11095535755157471 [ 52 104 112]
0.11095535755157471 [ 52 104 112]
0.11095535755157471 [ 52 104 112]
0.11095535755157471 [ 52 104 112]
