1.1086604595184326 [ 67 106  45]
0.8460953831672668 [ 85 122  81]
0.8460953831672668 [ 85 122  81]
0.8206178545951843 [ 89 116  68]
0.8206178545951843 [ 89 116  68]
0.8206178545951843 [ 89 116  68]
0.8206178545951843 [ 89 116  68]
0.8206178545951843 [ 89 116  68]
0.8206178545951843 [ 89 116  68]
0.8206178545951843 [ 89 116  68]
0.8206178545951843 [ 89 116  68]
0.8206178545951843 [ 89 116  68]
0.8206178545951843 [ 89 116  68]
0.7510999441146851 [128 101  41]
0.7510999441146851 [128 101  41]
0.7510999441146851 [128 101  41]
0.7510999441146851 [128 101  41]
0.7510999441146851 [128 101  41]
0.7510999441146851 [128 101  41]
0.7510999441146851 [128 101  41]
0.7510999441146851 [128 101  41]
0.7510999441146851 [128 101  41]
0.7510999441146851 [128 101  41]
0.7510999441146851 [128 101  41]
0.7510999441146851 [128 101  41]
0.7510999441146851 [128 101  41]
0.7510999441146851 [128 101  41]
0.7510999441146851 [128 101  41]
0.7510999441146851 [128 101  41]
0.7510999441146851 [128 101  41]
0.7510999441146851 [128 101  41]
0.7510999441146851 [128 101  41]
0.7510999441146851 [128 101  41]
0.7510999441146851 [128 101  41]
0.7510999441146851 [128 101  41]
0.7510999441146851 [128 101  41]
0.7510999441146851 [128 101  41]
0.7510999441146851 [128 101  41]
0.7510999441146851 [128 101  41]
0.7510999441146851 [128 101  41]
ACC 0.7149576669802445
