1.0095829963684082 [79 81 86]
0.9056590795516968 [109  44 128]
0.7953959703445435 [123  72 121]
0.6909900307655334 [116  57  43]
0.6909900307655334 [116  57  43]
0.6909900307655334 [116  57  43]
0.6909900307655334 [116  57  43]
0.6909900307655334 [116  57  43]
0.6909900307655334 [116  57  43]
0.6909900307655334 [116  57  43]
0.6909900307655334 [116  57  43]
0.6909900307655334 [116  57  43]
0.6909900307655334 [116  57  43]
0.6909900307655334 [116  57  43]
0.6909900307655334 [116  57  43]
0.6909900307655334 [116  57  43]
0.6909900307655334 [116  57  43]
0.6909900307655334 [116  57  43]
0.6909900307655334 [116  57  43]
0.6909900307655334 [116  57  43]
0.6909900307655334 [116  57  43]
0.6909900307655334 [116  57  43]
0.6909900307655334 [116  57  43]
0.6909900307655334 [116  57  43]
0.6909900307655334 [116  57  43]
0.6909900307655334 [116  57  43]
0.6909900307655334 [116  57  43]
0.6909900307655334 [116  57  43]
0.6909900307655334 [116  57  43]
0.6909900307655334 [116  57  43]
0.6909900307655334 [116  57  43]
0.6909900307655334 [116  57  43]
0.6909900307655334 [116  57  43]
0.6909900307655334 [116  57  43]
0.6909900307655334 [116  57  43]
0.6909900307655334 [116  57  43]
0.6909900307655334 [116  57  43]
0.6909900307655334 [116  57  43]
0.6909900307655334 [116  57  43]
0.6909900307655334 [116  57  43]
ACC 0.7057673509286413
