0.30149874091148376 [ 68  46 124]
0.23156756162643433 [ 58 101  47]
0.23156756162643433 [ 58 101  47]
0.23156756162643433 [ 58 101  47]
0.23156756162643433 [ 58 101  47]
0.23156756162643433 [ 58 101  47]
0.23156756162643433 [ 58 101  47]
0.23156756162643433 [ 58 101  47]
0.23156756162643433 [ 58 101  47]
0.23156756162643433 [ 58 101  47]
0.23156756162643433 [ 58 101  47]
0.23156756162643433 [ 58 101  47]
0.23156756162643433 [ 58 101  47]
0.23156756162643433 [ 58 101  47]
0.23156756162643433 [ 58 101  47]
0.23156756162643433 [ 58 101  47]
0.23156756162643433 [ 58 101  47]
0.23156756162643433 [ 58 101  47]
0.23156756162643433 [ 58 101  47]
0.23156756162643433 [ 58 101  47]
0.23156756162643433 [ 58 101  47]
0.23156756162643433 [ 58 101  47]
0.23156756162643433 [ 58 101  47]
0.23156756162643433 [ 58 101  47]
0.23156756162643433 [ 58 101  47]
0.23156756162643433 [ 58 101  47]
0.23156756162643433 [ 58 101  47]
0.23156756162643433 [ 58 101  47]
0.23156756162643433 [ 58 101  47]
0.23156756162643433 [ 58 101  47]
0.23156756162643433 [ 58 101  47]
0.23156756162643433 [ 58 101  47]
0.23156756162643433 [ 58 101  47]
0.23156756162643433 [ 58 101  47]
0.23156756162643433 [ 58 101  47]
0.23156756162643433 [ 58 101  47]
0.23156756162643433 [ 58 101  47]
0.23156756162643433 [ 58 101  47]
0.23156756162643433 [ 58 101  47]
0.23156756162643433 [ 58 101  47]
ACC 0.8599605522682445
