0.913185179233551 [125 126  53]
0.8223225474357605 [123  51 109]
0.8223225474357605 [123  51 109]
0.8223225474357605 [123  51 109]
0.8223225474357605 [123  51 109]
0.8223225474357605 [123  51 109]
0.8223225474357605 [123  51 109]
0.8223225474357605 [123  51 109]
0.8223225474357605 [123  51 109]
0.8223225474357605 [123  51 109]
0.8223225474357605 [123  51 109]
0.8223225474357605 [123  51 109]
0.7289888858795166 [62 41 66]
0.7289888858795166 [62 41 66]
0.7289888858795166 [62 41 66]
0.5297114849090576 [ 97 126  90]
0.5297114849090576 [ 97 126  90]
0.5297114849090576 [ 97 126  90]
0.5297114849090576 [ 97 126  90]
0.5297114849090576 [ 97 126  90]
0.5297114849090576 [ 97 126  90]
0.5297114849090576 [ 97 126  90]
0.5297114849090576 [ 97 126  90]
0.5297114849090576 [ 97 126  90]
0.5297114849090576 [ 97 126  90]
0.5297114849090576 [ 97 126  90]
0.5297114849090576 [ 97 126  90]
0.5297114849090576 [ 97 126  90]
0.5297114849090576 [ 97 126  90]
0.5297114849090576 [ 97 126  90]
0.5297114849090576 [ 97 126  90]
0.5297114849090576 [ 97 126  90]
0.5297114849090576 [ 97 126  90]
0.5297114849090576 [ 97 126  90]
0.5297114849090576 [ 97 126  90]
0.5297114849090576 [ 97 126  90]
0.5297114849090576 [ 97 126  90]
0.5297114849090576 [ 97 126  90]
0.5297114849090576 [ 97 126  90]
0.5297114849090576 [ 97 126  90]
ACC 0.7913875598086124
