0.2818065881729126 [ 67  17 105]
0.16381393373012543 [ 98 125  64]
0.16381393373012543 [ 98 125  64]
0.16381393373012543 [ 98 125  64]
0.16381393373012543 [ 98 125  64]
0.16381393373012543 [ 98 125  64]
0.16381393373012543 [ 98 125  64]
0.16381393373012543 [ 98 125  64]
0.16381393373012543 [ 98 125  64]
0.16381393373012543 [ 98 125  64]
0.16381393373012543 [ 98 125  64]
0.16381393373012543 [ 98 125  64]
0.16381393373012543 [ 98 125  64]
0.16381393373012543 [ 98 125  64]
0.16381393373012543 [ 98 125  64]
0.16381393373012543 [ 98 125  64]
0.16381393373012543 [ 98 125  64]
0.16381393373012543 [ 98 125  64]
0.16381393373012543 [ 98 125  64]
0.16381393373012543 [ 98 125  64]
0.16381393373012543 [ 98 125  64]
0.16381393373012543 [ 98 125  64]
0.16381393373012543 [ 98 125  64]
0.16381393373012543 [ 98 125  64]
0.16381393373012543 [ 98 125  64]
0.16381393373012543 [ 98 125  64]
0.16381393373012543 [ 98 125  64]
0.16381393373012543 [ 98 125  64]
0.16381393373012543 [ 98 125  64]
0.16381393373012543 [ 98 125  64]
0.16381393373012543 [ 98 125  64]
0.16381393373012543 [ 98 125  64]
0.16381393373012543 [ 98 125  64]
0.16381393373012543 [ 98 125  64]
0.16381393373012543 [ 98 125  64]
0.16381393373012543 [ 98 125  64]
0.16381393373012543 [ 98 125  64]
0.16381393373012543 [ 98 125  64]
0.16381393373012543 [ 98 125  64]
0.16381393373012543 [ 98 125  64]
ACC 0.8864265927977839
