0.22139152884483337 [126  14  17]
0.1846272051334381 [120  55  85]
0.17607630789279938 [ 27 118  85]
0.17607630789279938 [ 27 118  85]
0.17607630789279938 [ 27 118  85]
0.17607630789279938 [ 27 118  85]
0.17607630789279938 [ 27 118  85]
0.17607630789279938 [ 27 118  85]
0.17607630789279938 [ 27 118  85]
0.17607630789279938 [ 27 118  85]
0.17607630789279938 [ 27 118  85]
0.14613816142082214 [ 53 128 108]
0.14613816142082214 [ 53 128 108]
0.14613816142082214 [ 53 128 108]
0.14613816142082214 [ 53 128 108]
0.14613816142082214 [ 53 128 108]
0.14613816142082214 [ 53 128 108]
0.12100394815206528 [ 47 128 128]
0.12100394815206528 [ 47 128 128]
0.12100394815206528 [ 47 128 128]
0.12100394815206528 [ 47 128 128]
0.12100394815206528 [ 47 128 128]
0.12100394815206528 [ 47 128 128]
0.12100394815206528 [ 47 128 128]
0.12100394815206528 [ 47 128 128]
0.12100394815206528 [ 47 128 128]
0.12100394815206528 [ 47 128 128]
0.12100394815206528 [ 47 128 128]
0.12100394815206528 [ 47 128 128]
0.12100394815206528 [ 47 128 128]
0.12100394815206528 [ 47 128 128]
0.12100394815206528 [ 47 128 128]
0.12100394815206528 [ 47 128 128]
0.12100394815206528 [ 47 128 128]
0.12100394815206528 [ 47 128 128]
0.12100394815206528 [ 47 128 128]
0.12100394815206528 [ 47 128 128]
0.12100394815206528 [ 47 128 128]
0.12100394815206528 [ 47 128 128]
0.12100394815206528 [ 47 128 128]
ACC 0.8812877263581489
