0.21416640281677246 [115  98  11]
0.1706220656633377 [93 99 53]
0.1706220656633377 [93 99 53]
0.1706220656633377 [93 99 53]
0.1706220656633377 [93 99 53]
0.1706220656633377 [93 99 53]
0.1706220656633377 [93 99 53]
0.1706220656633377 [93 99 53]
0.1706220656633377 [93 99 53]
0.1706220656633377 [93 99 53]
0.1706220656633377 [93 99 53]
0.1706220656633377 [93 99 53]
0.1706220656633377 [93 99 53]
0.1706220656633377 [93 99 53]
0.1706220656633377 [93 99 53]
0.1706220656633377 [93 99 53]
0.1706220656633377 [93 99 53]
0.1706220656633377 [93 99 53]
0.1706220656633377 [93 99 53]
0.1706220656633377 [93 99 53]
0.1706220656633377 [93 99 53]
0.1706220656633377 [93 99 53]
0.1706220656633377 [93 99 53]
0.1706220656633377 [93 99 53]
0.1706220656633377 [93 99 53]
0.1706220656633377 [93 99 53]
0.1706220656633377 [93 99 53]
0.1706220656633377 [93 99 53]
0.1706220656633377 [93 99 53]
0.1706220656633377 [93 99 53]
0.1706220656633377 [93 99 53]
0.1706220656633377 [93 99 53]
0.1706220656633377 [93 99 53]
0.1706220656633377 [93 99 53]
0.1706220656633377 [93 99 53]
0.1706220656633377 [93 99 53]
0.1706220656633377 [93 99 53]
0.1706220656633377 [93 99 53]
0.1706220656633377 [93 99 53]
0.1706220656633377 [93 99 53]
ACC 0.845719661335842
