0.8575176000595093 [105 122 107]
0.8485348224639893 [128 102  96]
0.5921524167060852 [ 99 128 119]
0.5921524167060852 [ 99 128 119]
0.5921524167060852 [ 99 128 119]
0.5921524167060852 [ 99 128 119]
0.5921524167060852 [ 99 128 119]
0.5921524167060852 [ 99 128 119]
0.5921524167060852 [ 99 128 119]
0.5921524167060852 [ 99 128 119]
0.5921524167060852 [ 99 128 119]
0.5921524167060852 [ 99 128 119]
0.5921524167060852 [ 99 128 119]
0.5921524167060852 [ 99 128 119]
0.5921524167060852 [ 99 128 119]
0.5921524167060852 [ 99 128 119]
0.5921524167060852 [ 99 128 119]
0.5921524167060852 [ 99 128 119]
0.5921524167060852 [ 99 128 119]
0.5921524167060852 [ 99 128 119]
0.5921524167060852 [ 99 128 119]
0.5921524167060852 [ 99 128 119]
0.5921524167060852 [ 99 128 119]
0.5921524167060852 [ 99 128 119]
0.5921524167060852 [ 99 128 119]
0.5921524167060852 [ 99 128 119]
0.5921524167060852 [ 99 128 119]
0.5921524167060852 [ 99 128 119]
0.5921524167060852 [ 99 128 119]
0.5921524167060852 [ 99 128 119]
0.5921524167060852 [ 99 128 119]
0.5921524167060852 [ 99 128 119]
0.5921524167060852 [ 99 128 119]
0.5921524167060852 [ 99 128 119]
0.5921524167060852 [ 99 128 119]
0.5921524167060852 [ 99 128 119]
0.5921524167060852 [ 99 128 119]
0.5921524167060852 [ 99 128 119]
0.5921524167060852 [ 99 128 119]
0.5921524167060852 [ 99 128 119]
ACC 0.7424547283702213
