0.21688339114189148 [99 68 44]
0.21378131210803986 [70 51 25]
0.14501743018627167 [111 128  85]
0.14501743018627167 [111 128  85]
0.14501743018627167 [111 128  85]
0.14501743018627167 [111 128  85]
0.14501743018627167 [111 128  85]
0.14501743018627167 [111 128  85]
0.14501743018627167 [111 128  85]
0.14501743018627167 [111 128  85]
0.14501743018627167 [111 128  85]
0.14501743018627167 [111 128  85]
0.14501743018627167 [111 128  85]
0.14501743018627167 [111 128  85]
0.14501743018627167 [111 128  85]
0.14501743018627167 [111 128  85]
0.14501743018627167 [111 128  85]
0.1349216103553772 [ 92 128 113]
0.1349216103553772 [ 92 128 113]
0.1349216103553772 [ 92 128 113]
0.1349216103553772 [ 92 128 113]
0.1349216103553772 [ 92 128 113]
0.1349216103553772 [ 92 128 113]
0.1349216103553772 [ 92 128 113]
0.1349216103553772 [ 92 128 113]
0.1349216103553772 [ 92 128 113]
0.1349216103553772 [ 92 128 113]
0.1349216103553772 [ 92 128 113]
0.1349216103553772 [ 92 128 113]
0.1349216103553772 [ 92 128 113]
0.1349216103553772 [ 92 128 113]
0.1349216103553772 [ 92 128 113]
0.1349216103553772 [ 92 128 113]
0.1349216103553772 [ 92 128 113]
0.1349216103553772 [ 92 128 113]
0.1349216103553772 [ 92 128 113]
0.1349216103553772 [ 92 128 113]
0.1349216103553772 [ 92 128 113]
0.1349216103553772 [ 92 128 113]
0.1349216103553772 [ 92 128 113]
ACC 0.9039385206532181
