0.266350656747818 [117 122 109]
0.266350656747818 [117 122 109]
0.266350656747818 [117 122 109]
0.25157809257507324 [105  33 118]
0.25157809257507324 [105  33 118]
0.25157809257507324 [105  33 118]
0.24879249930381775 [123 109  58]
0.24879249930381775 [123 109  58]
0.24879249930381775 [123 109  58]
0.24879249930381775 [123 109  58]
0.24879249930381775 [123 109  58]
0.24567911028862 [ 35 128 128]
0.24567911028862 [ 35 128 128]
0.24567911028862 [ 35 128 128]
0.2445959746837616 [ 35 128 128]
0.21357107162475586 [ 35 128 128]
0.21357107162475586 [ 35 128 128]
0.21357107162475586 [ 35 128 128]
0.21357107162475586 [ 35 128 128]
0.2119661420583725 [ 82 128 128]
0.211105078458786 [ 65 128 120]
0.211105078458786 [ 65 128 120]
0.211105078458786 [ 65 128 120]
0.211105078458786 [ 65 128 120]
0.211105078458786 [ 65 128 120]
0.211105078458786 [ 65 128 120]
0.211105078458786 [ 65 128 120]
0.211105078458786 [ 65 128 120]
0.211105078458786 [ 65 128 120]
0.211105078458786 [ 65 128 120]
0.211105078458786 [ 65 128 120]
0.211105078458786 [ 65 128 120]
0.211105078458786 [ 65 128 120]
0.211105078458786 [ 65 128 120]
0.211105078458786 [ 65 128 120]
0.211105078458786 [ 65 128 120]
0.19532510638237 [ 48 109 128]
0.19532510638237 [ 48 109 128]
0.19532510638237 [ 48 109 128]
0.19532510638237 [ 48 109 128]
ACC 0.858148893360161
