0.2173779457807541 [128 121  57]
0.198313906788826 [ 80 101 114]
0.198313906788826 [ 80 101 114]
0.16396968066692352 [103  30 113]
0.16396968066692352 [103  30 113]
0.16396968066692352 [103  30 113]
0.16396968066692352 [103  30 113]
0.16396968066692352 [103  30 113]
0.16396968066692352 [103  30 113]
0.16396968066692352 [103  30 113]
0.16396968066692352 [103  30 113]
0.16396968066692352 [103  30 113]
0.16396968066692352 [103  30 113]
0.16396968066692352 [103  30 113]
0.16396968066692352 [103  30 113]
0.16396968066692352 [103  30 113]
0.16396968066692352 [103  30 113]
0.16396968066692352 [103  30 113]
0.16396968066692352 [103  30 113]
0.16396968066692352 [103  30 113]
0.16396968066692352 [103  30 113]
0.14818239212036133 [ 78  82 117]
0.14818239212036133 [ 78  82 117]
0.14818239212036133 [ 78  82 117]
0.14818239212036133 [ 78  82 117]
0.14818239212036133 [ 78  82 117]
0.14818239212036133 [ 78  82 117]
0.14818239212036133 [ 78  82 117]
0.14818239212036133 [ 78  82 117]
0.14818239212036133 [ 78  82 117]
0.14818239212036133 [ 78  82 117]
0.14818239212036133 [ 78  82 117]
0.14818239212036133 [ 78  82 117]
0.14818239212036133 [ 78  82 117]
0.14818239212036133 [ 78  82 117]
0.14818239212036133 [ 78  82 117]
0.14818239212036133 [ 78  82 117]
0.14818239212036133 [ 78  82 117]
0.14818239212036133 [ 78  82 117]
0.14818239212036133 [ 78  82 117]
ACC 0.8661971830985915
