0.1489776223897934 [31 75 97]
0.11922907084226608 [ 29  64 125]
0.11922907084226608 [ 29  64 125]
0.11922907084226608 [ 29  64 125]
0.10727044939994812 [ 29  64 125]
0.10727044939994812 [ 29  64 125]
0.10727044939994812 [ 29  64 125]
0.10727044939994812 [ 29  64 125]
0.10727044939994812 [ 29  64 125]
0.10727044939994812 [ 29  64 125]
0.10727044939994812 [ 29  64 125]
0.10727044939994812 [ 29  64 125]
0.10727044939994812 [ 29  64 125]
0.10727044939994812 [ 29  64 125]
0.10727044939994812 [ 29  64 125]
0.10727044939994812 [ 29  64 125]
0.10727044939994812 [ 29  64 125]
0.10727044939994812 [ 29  64 125]
0.10727044939994812 [ 29  64 125]
0.10727044939994812 [ 29  64 125]
0.10727044939994812 [ 29  64 125]
0.10727044939994812 [ 29  64 125]
0.10727044939994812 [ 29  64 125]
0.10727044939994812 [ 29  64 125]
0.10727044939994812 [ 29  64 125]
0.10727044939994812 [ 29  64 125]
0.10727044939994812 [ 29  64 125]
0.10658276826143265 [79 99 48]
0.10658276826143265 [79 99 48]
0.10111943632364273 [ 60 121 122]
0.07227077335119247 [ 56 128 128]
0.07227077335119247 [ 56 128 128]
0.07227077335119247 [ 56 128 128]
0.07227077335119247 [ 56 128 128]
0.07227077335119247 [ 56 128 128]
0.07227077335119247 [ 56 128 128]
0.07227077335119247 [ 56 128 128]
0.07227077335119247 [ 56 128 128]
0.07227077335119247 [ 56 128 128]
0.07227077335119247 [ 56 128 128]
ACC 0.9156398104265403
