0.18025121092796326 [33 74 95]
0.18025121092796326 [33 74 95]
0.18025121092796326 [33 74 95]
0.17981548607349396 [ 53  84 117]
0.1008327528834343 [ 53 128 117]
0.1008327528834343 [ 53 128 117]
0.1008327528834343 [ 53 128 117]
0.1008327528834343 [ 53 128 117]
0.1008327528834343 [ 53 128 117]
0.1008327528834343 [ 53 128 117]
0.1008327528834343 [ 53 128 117]
0.1008327528834343 [ 53 128 117]
0.1008327528834343 [ 53 128 117]
0.1008327528834343 [ 53 128 117]
0.1008327528834343 [ 53 128 117]
0.1008327528834343 [ 53 128 117]
0.1008327528834343 [ 53 128 117]
0.1008327528834343 [ 53 128 117]
0.1008327528834343 [ 53 128 117]
0.1008327528834343 [ 53 128 117]
0.1008327528834343 [ 53 128 117]
0.1008327528834343 [ 53 128 117]
0.1008327528834343 [ 53 128 117]
0.1008327528834343 [ 53 128 117]
0.1008327528834343 [ 53 128 117]
0.1008327528834343 [ 53 128 117]
0.1008327528834343 [ 53 128 117]
0.1008327528834343 [ 53 128 117]
0.1008327528834343 [ 53 128 117]
0.1008327528834343 [ 53 128 117]
0.1008327528834343 [ 53 128 117]
0.1008327528834343 [ 53 128 117]
0.1008327528834343 [ 53 128 117]
0.1008327528834343 [ 53 128 117]
0.1008327528834343 [ 53 128 117]
0.1008327528834343 [ 53 128 117]
0.1008327528834343 [ 53 128 117]
0.1008327528834343 [ 53 128 117]
0.1008327528834343 [ 53 128 117]
0.1008327528834343 [ 53 128 117]
ACC 0.8993157380254154
